Temperature,Pressure,Flow,Efficiency,
400,1500,77.58909293,52.38608268,135.03888
400,1600,77.58255392,52.38668911,135.0297288
400,1700,77.57578818,52.38731959,135.0202151
400,1800,77.56879325,52.38797417,135.0103374
400,1900,77.56156688,52.38865295,135.0000947
400,2000,77.55410707,52.389356,134.9894858
420,200,76.84398202,52.46047475,133.9162909
420,300,76.83978904,52.46074765,133.9121727
420,400,76.83576235,52.46103495,133.9078372
420,500,76.83177615,52.46133672,133.9032834
420,600,76.82776935,52.46165302,133.8985104
420,700,76.82370701,52.46198388,133.8935175
420,800,76.81956699,52.46232939,133.8883038
420,900,76.81533422,52.46268958,133.8828684
420,1000,76.81099788,52.46306451,133.8772105
420,1100,76.80654983,52.46345424,133.8713294
420,1200,76.80198378,52.46385881,133.8652242
420,1300,76.79729472,52.46427829,133.8588941
420,1400,76.79247853,52.46471273,133.8523383
420,1500,76.7875318,52.46516217,133.845556
420,1600,76.78245164,52.46562667,133.8385466
420,1700,76.77723554,52.46610629,133.831309
420,1800,76.77188134,52.46660106,133.8238427
420,1900,76.76638709,52.46711104,133.8161469
420,2000,76.76075109,52.46763629,133.8082208
440,200,76.04750047,52.53926606,132.727306
440,300,76.04355275,52.53951695,132.7235201
440,400,76.03982082,52.53977706,132.7195949
440,500,76.03618042,52.54004644,132.71553
440,600,76.03257129,52.5403251,132.7113248
440,700,76.02895907,52.5406131,132.7069789
440,800,76.02532207,52.54091046,132.7024918
440,900,76.02164559,52.54121721,132.6978628
440,1000,76.01791913,52.54153339,132.6930916
440,1100,76.01413482,52.54185903,132.6881776
440,1200,76.01028665,52.54219417,132.6831204
440,1300,76.00636985,52.54253883,132.6779194
440,1400,76.00238055,52.54289305,132.6725741
440,1500,75.99831557,52.54325687,132.6670841
440,1600,75.99417222,52.54363031,132.6614489
440,1700,75.98994822,52.5440134,132.655668
440,1800,75.98564159,52.54440618,132.6497409
440,1900,75.98125061,52.54480868,132.6436671
440,2000,75.97677376,52.54522093,132.6374462
460,200,75.27094554,52.61631663,131.5646297
460,300,75.26720244,52.61654937,131.5611178
460,400,75.26370475,52.61678811,131.5575154
460,500,75.2603296,52.61703286,131.5538223
460,600,75.25701748,52.61728365,131.550038
460,700,75.25373451,52.6175405,131.5461623
460,800,75.25045935,52.61780343,131.5421949
460,900,75.24717756,52.61807246,131.5381355
460,1000,75.24387887,52.61834761,131.5339837
460,1100,75.24055565,52.6186289,131.5297393
460,1200,75.23720204,52.61891635,131.5254018
460,1300,75.23381344,52.61920998,131.5209712
460,1400,75.23038616,52.61950981,131.5164469
460,1500,75.22691714,52.61981587,131.5118287
460,1600,75.22340385,52.62012816,131.5071164
460,1700,75.21984416,52.62044672,131.5023096
460,1800,75.21623621,52.62077157,131.497408
460,1900,75.21257842,52.62110271,131.4924113
460,2000,75.20886938,52.62144017,131.4873192
480,200,74.51748259,52.69129731,130.4332753
480,300,74.51392049,52.6915141,130.4300045
480,400,74.51062147,52.69173483,130.4266742
480,500,74.50746395,52.69195952,130.4232841
480,600,74.50438911,52.69218818,130.4198341
480,700,74.50136349,52.69242083,130.4163239
480,800,74.49836602,52.69265748,130.4127534
480,900,74.49538249,52.69289814,130.4091224
480,1000,74.4924028,52.69314283,130.4054306
480,1100,74.48941947,52.69339155,130.4016779
480,1200,74.4864268,52.69364432,130.3978642
480,1300,74.48342028,52.69390116,130.3939891
480,1400,74.48039632,52.69416208,130.3900525
480,1500,74.47735199,52.69442708,130.3860542
480,1600,74.47428486,52.69469618,130.381994
480,1700,74.47119286,52.6949694,130.3778717
480,1800,74.46807426,52.69524675,130.3736872
480,1900,74.46492753,52.69552823,130.3694403
480,2000,74.46175136,52.69581387,130.3651307
500,200,73.78954453,52.7639485,129.3371989
500,300,73.78614896,52.76415062,129.3341499
500,400,73.78302682,52.76435536,129.3310612
500,500,73.7800578,52.76456274,129.3279327
500,600,73.77718366,52.76477276,129.3247644
500,700,73.77437133,52.76498543,129.3215561
500,800,73.7716,52.76520076,129.3183077
500,900,73.76885565,52.76541876,129.315019
500,1000,73.7661283,52.76563944,129.3116899
500,1100,73.7634106,52.7658628,129.3083204
500,1200,73.76069694,52.76608885,129.3049102
500,1300,73.75798293,52.7663176,129.3014594
500,1400,73.75526504,52.76654906,129.2979676
500,1500,73.75254041,52.76678324,129.2944349
500,1600,73.74980667,52.76702015,129.290861
500,1700,73.74706183,52.76725978,129.287246
500,1800,73.74430421,52.76750216,129.2835896
500,1900,73.74153235,52.76774729,129.2798917
500,2000,73.738745,52.76799517,129.2761522
